clf,clf_C,clf_algorithm,clf_base_estimator,clf_bootstrap,clf_cache_size,clf_class_weight,clf_coef0,clf_compute_importances,clf_constant,clf_criterion,clf_degree,clf_dual,clf_fit_intercept,clf_gamma,clf_intercept_scaling,clf_kernel,clf_learning_rate,clf_max_depth,clf_max_features,clf_max_iter,clf_max_leaf_nodes,clf_min_density,clf_min_samples_leaf,clf_min_samples_split,clf_n_estimators,clf_n_jobs,clf_oob_score,clf_penalty,clf_probability,clf_random_state,clf_shrinking,clf_splitter,clf_strategy,clf_tol,clf_verbose,subset,subset_cols_to_exclude,subset_max_grades,subset_n_subsets,subset_num_rows,subset_proportions_positive,subset_subset_size,cv,cv_col_name,cv_col_name,cv_expanding_train,cv_inc_value,cv_indices,cv_n_folds,cv_random_state,cv_shuffle,cv_test_start,cv_test_window_size,cv_train_start,cv_train_window_size,subset_note_excluded_col,subset_note_max_grade,subset_note_prop_positive,subset_note_rows,subset_note_sample_num,cv_note_fold,cv_note_test_end,cv_note_test_start,cv_note_train_end,cv_note_train_start,f1_score,roc_auc,prec@1%,prec@2%,prec@5%,prec@10%,prec@20%,feature_ranked_0,feature_ranked_1,feature_ranked_2,feature_ranked_3,feature_ranked_4,feature_ranked_5,feature_ranked_6,feature_ranked_7,feature_ranked_8,feature_ranked_9,feature_score_0,feature_score_1,feature_score_2,feature_score_3,feature_score_4,feature_score_5,feature_score_6,feature_score_7,feature_score_8,feature_score_9
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,1,,,,,0.49056603773584911,0.58525345622119818,0.33999999999999997,0.16,0.6916666666666667,0.6952380952380952,0.6967032967032967,f6,f4,f1,f2,f11,f7,f12,f5,f10,f8,0.17148135062526917,0.12763651178014887,0.091736625732366198,0.081180272693704425,0.077361506489565218,0.069117167933242768,0.067893084586462205,0.060169175218610885,0.050323203647385649,0.045903061346649551
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,2,,,,,0.58620689655172409,0.63410138248847925,1.0,0.84,0.6166666666666666,0.30476190476190473,0.4692307692307693,f9,f6,f8,f1,f12,f10,f7,f4,f11,f5,0.13197688530936058,0.12719893083747014,0.088091493608021904,0.073864513276160615,0.068372313367232221,0.063470286222903835,0.059204590071671767,0.055700250039205271,0.054113243176522871,0.052645124531028577
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,0,,,,,0.31818181818181823,0.43435534591194969,1.0,0.9933333333333333,0.405,0.39636363636363636,0.2971428571428571,f5,f14,f7,f10,f3,f11,f0,f9,f1,f4,0.12004872508119509,0.098488849957258442,0.091848710746127243,0.091055213977220231,0.073768499112714159,0.069468093950693172,0.069352676955191012,0.06900071168583416,0.063023275216190083,0.061297778206865959
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,1,,,,,0.45833333333333331,0.45793269230769229,0.0,0.0,0.2,0.3,0.4,f13,f0,f7,f8,f2,f9,f14,f11,f12,f6,0.11448825435171932,0.10972008901075499,0.088029889719238461,0.085293644175255409,0.076304739306899058,0.075769939188700813,0.069949445308640945,0.065298104092659903,0.064133549897084446,0.056130068801826083
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,300,,2,,,,,0.51063829787234039,0.51841243862520459,1.0,0.5100000000000001,0.40499999999999997,0.40444444444444444,0.4947368421052632,f13,f0,f11,f1,f2,f6,f5,f3,f10,f8,0.11657731626625074,0.11470337871861265,0.092895499964650269,0.081893013510142054,0.079898358288517948,0.079114445107057646,0.074532536414860198,0.065019685974641431,0.064293627421123989,0.051953075566958072
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,100,,0,,,,,0.46153846153846151,0.57947530864197538,0.93625,0.8725,0.6812499999999999,0.5,0.5314285714285715,f13,f4,f14,f3,f7,f8,f2,f11,f0,f5,0.1767282615099377,0.14495610689397104,0.09157617588771591,0.083229659667942088,0.067133701254283945,0.061564800543115361,0.060292756120383081,0.059904164785587709,0.055197281175820748,0.05021639184528922
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,100,,1,,,,,0.39999999999999997,0.45568561872909696,0.7549999999999999,0.5099999999999999,0.022500000000000013,0.14500000000000002,0.39,f9,f8,f14,f10,f13,f6,f12,f3,f5,f4,0.14408215515850342,0.12166412965305784,0.11643210269057436,0.085337050369517109,0.070626158669550812,0.067228648890987369,0.063762962882528113,0.052950110333553166,0.05050253229175751,0.050401073810016975
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,200,,0,,,,,0.46575342465753422,0.60798875953432363,1.0,1.0,0.625,0.4636363636363636,0.5741258741258741,f14,f4,f8,f7,f3,f0,f9,f12,f5,f2,0.17203999265359404,0.095430274713363933,0.094923079633399507,0.090433189592396587,0.076543532690758254,0.072934311162040785,0.062037053493636397,0.058000494264702107,0.048148255058914222,0.047899298139718535
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,200,,1,,,,,0.42352941176470582,0.50040144520272978,0.75,0.5,0.38095238095238093,0.24083333333333334,0.42694444444444446,f2,f1,f6,f9,f13,f11,f12,f7,f0,f3,0.093762513743617881,0.088601933959953971,0.087941452919087323,0.084944345283863548,0.081637892996883385,0.075390604120400356,0.069890934430863527,0.066791741626800544,0.066334797669712287,0.066296072859556632
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,300,,0,,,,,0.35087719298245612,0.47119123365146692,0.051000000000000004,0.202,0.41342105263157897,0.4531578947368421,0.4610886189833558,f9,f8,f0,f4,f13,f11,f5,f7,f12,f3,0.11141585597698862,0.10426497260527919,0.10038028641495238,0.095258378969781371,0.07495835055174549,0.070330425828019655,0.06983592595276901,0.067400317579942443,0.059571890102728474,0.051727883982657652
